any,5172,41333
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,919,919
Y,1389,1389
,,
,,
,,
,,
,,
,,
Y,299,299
,,
,,
,,
Y,619,619
,,
,,
Y,219,219
,,
Y,219,219
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,1599,1599
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,739,739
,,
,,
,,
,,
,,
,,
,,
,,
Y,719,719
Y,719,719
Y,719,719
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,50,50
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,179,179
,,
Y,89,89
,,
Y,499,499
,,
,,
Y,479,479
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,259,259
,,
Y,559,559
,,
Y,559,559
,,
Y,319,319
,,
,,
,,
,,
,,
Y,539,539
,,
,,
,,
,,
,,
,,
,,
,,
Y,259,259
Y,319,319
Y,559,559
Y,539,539
,,
,,
Y,559,559
,,
,,
Y,559,559
,,
Y,559,559
,,
,,
Y,539,539
,,
,,
,,
,,
,,
Y,319,319
,,
,,
,,
,,
,,
,,
,,
Y,0,0
,,
,,
Y,0,0
,,
Y,719,719
,,
,,
,,
Y,559,559
,,
Y,169,169
,,
Y,169,169
Y,169,169
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,1200,1200
,,
Y,1200,1200
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,329,329
Y,199,199
,,
Y,199,199
,,
,,
,,
Y,319,319
,,
,,
,,
,,
Y,469,469
Y,489,489
Y,389,389
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,329,329
Y,369,369
Y,289,289
,,
Y,329,329
Y,369,369
Y,289,289
,,
Y,329,329
Y,369,369
Y,289,289
Y,289,289
Y,329,329
Y,249,249
,,
,,
,,
,,
,,
Y,239,239
,,
,,
,,
,,
,,
,,
,,
Y,40,40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,169,169
,,
Y,169,169
,,
,,
,,
Y,219,219
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,179,179
Y,479,479
,,
,,
Y,619,619
Y,539,539
Y,539,539
Y,539,539
,,
,,
,,
,,
,,
,,
,,
,,
Y,369,369
Y,419,419
Y,329,329
,,
,,
Y,519,519
Y,459,459
Y,459,459
Y,459,459
,,
,,
,,
,,
,,
,,
,,
Y,0,0
,,
,,
Y,200,200
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,219,219
,,
Y,219,219
,,
Y,219,219
,,
,,
,,
,,
,,
,,
Y,60,60
,,
Y,75,75
Y,469,469
Y,469,469
Y,539,539
Y,539,539
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,369,369
Y,419,419
Y,329,329
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,919,919
,,
Y,169,169
Y,899,869
,,
,,
Y,359,359
Y,449,449
,,
,,
,,
,,
,,
Y,1019,1019
Y,1089,1089
,,
,,
Y,969,969
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,299,299
Y,299,299
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,99/169,99/169
Y,119,119
,,
,,
,,
Y,35,35
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,250/639,250/619
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,529,529
,,
Y,509,509
,,
Y,479,479
Y,289,289
,,
Y,80,80
,,
Y,65,65
,,
Y,80,80
,,
,,
,,
Y,129,129
,,
,,
,,
,,
Y,40,40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,100,100
,,
Y,40,40
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Y,0,0
Y,0,0
,,
,,
,,
,,
,,
Y,289,289
Y,439,439
Y,179,179
Y,219,219
,,
Y,179,179
,,
Y,219,219
Y,159,159
,,
,,
Y,159,159
,,
,,
,,
Y,409,409
,,
,,
Y,449,449
Y,489,489
Y,159,159
Y,159,159
,,
Y,159,159
,,
Y,159,159
Y,159,159
,,
Y,329,329
Y,329,329
Y,569,569
Y,569,569
Y,569,569
Y,409,409
,,
Y,419,419
,,
,,
Y,419,419
,,
Y,419,419
,,
,,
,,
